track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,deezer_playlist_count,deezer_playlist_reach,shazam_counts,explicit_track
Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah,2020-03-26,INS172000876,930,50.0,86295058.0,7591.0,3058131.0,55.0,1022945729.0,6994273.0,5444473.0,128000154.0,1953198700.0,197996975.0,7.0,961.0,3.0,2467.0,193040.0,0
Pure Cocaine,Street Gossip,Lil Baby,2018-11-30,USUG11802285,928,50.0,652559944.0,170734.0,17463888.0,74.0,317320682.0,2195610.0,13434.0,7576223.0,62837382.0,7241389.0,21.0,36.0,8.0,35919.0,1456448.0,1
Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUV72401318,933,49.9,536986458.0,1.0,2.0,67.0,147139870.5,1277936.5,182364.5,27141268.0,265551910.0,100962228.0,29.0,5993.0,15.0,230295.0,903827.0,1
Pretty Little Poison,Pretty Little Poison - Single,Warren Zeiders,2023-03-17,USWB12300190,932,49.9,142512477.0,23828.0,9380794.0,72.0,56277759.0,436896.0,100195.0,10946988.0,109014578.0,727842762.0,14.0,202432.0,4.0,177002.0,549127.0,0
Murder On My Mind,Murder On My Mind,YNW Melly,2018-06-01,QMCE31801827,934,49.8,1055558326.0,208777.0,21077896.0,72.0,952644680.0,8820105.0,251510.0,44341738.0,350694950.0,39105354.0,18.0,299.0,10.0,8074.0,2087864.0,1
You Are The Reason,You Are The Reason,Calum Scott,2017-11-17,USUM71710315,937,49.8,1042531612.0,119883.0,31204776.0,73.0,1425188874.0,10037251.0,1513635.0,180692022.0,1930209423.0,1629614639.0,70.0,18397.0,17.0,70256.0,6610744.0,0
Bad Liar,Bad Liar,Imagine Dragons,2018-11-06,USUM71816161,938,49.8,1056929910.0,134812.0,31112950.0,74.0,908433462.0,8291217.0,1429594.0,181729752.0,2058078137.0,1802807851.0,54.0,118378.0,31.0,384519.0,11123506.0,0
Wild Ones (feat. Jelly Roll),Wild Ones (feat. Jelly Roll),Jessie Murph,2023-10-06,USQX92304180,936,49.8,165347464.0,21942.0,13799115.0,67.0,43792907.0,313018.0,15847.0,603997.0,7395640.0,446100137.0,18.0,81.0,19.0,7719621.0,354116.0,1
ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,USSM11914320,939,49.7,1474968552.0,170595.0,31145335.0,68.0,473697535.0,5439167.0,1513097.0,565840941.0,4972391653.0,251187916.0,154.0,271106.0,78.0,626621.0,4556715.0,1
Softly,Making Memories,Karan Aujla,2023-08-18,CAW112300244,941,49.6,150073848.0,12340.0,8409772.0,71.0,232389376.0,1637844.0,70200.0,8387797.0,169068391.0,185360520.0,17.0,455.0,1.0,9696.0,270472.0,0
Tacones Rojos,Tacones Rojos,Sebastian Yatra,2021-10-22,USUM72119612,940,49.6,641756842.0,80542.0,23090494.0,68.0,558812868.0,2887216.0,328394.0,77295943.0,855230861.0,387792262.0,78.0,438.0,40.0,686168.0,2934783.0,0
Ride the Vibe,Ride the Vibe,NEXZ,2024-05-20,US5TA2400118,942,49.6,899456.0,147.0,2784044.0,46.0,31419384.0,139393.0,182364.5,27141268.0,265551910.0,127867.0,2.0,31.0,1.0,5401.0,8204.0,0
family ties,family ties - Single,Baby Keem,2021-08-27,USSM12105949,945,49.5,786298066.0,204148.0,57623622.0,77.0,63403993.0,557514.0,55168.0,80647899.0,532021210.0,764790.0,62.0,21505.0,20.0,174320.0,1938598.0,1
Whatever It Takes,Whatever It Takes,Imagine Dragons,2017-05-09,USUM71703515,944,49.5,1257258072.0,156442.0,33271283.0,76.0,1192880501.0,7815307.0,202700.0,27054065.0,340416328.0,158079968.0,86.0,148594.0,37.0,367136.0,12160416.0,0
POP!,IM NAYEON,NAYEON,2022-06-24,US5TA2200041,946,49.4,296828933.0,25748.0,12535016.0,69.0,407776018.0,8669558.0,1937239.0,548973446.0,5178604164.0,240970840.0,18.0,3491.0,3.0,17624.0,445036.0,0
Into the Unknown,New Horizons,ALPHA 9,2023-01-13,GBEWA2206731,948,49.4,78985.0,67.0,5674.0,9.0,621561070.0,3598710.0,182364.5,27141268.0,265551910.0,45996393.0,29.0,15.0,15.0,230295.0,903827.0,0
Lonely At The Top,Work Of Art,Asake,2023-06-15,USUYG1490059,947,49.4,84655991.0,13107.0,7678884.0,69.0,75076449.0,510479.0,1513241.0,16795588.0,382487197.0,72422815.0,36.0,11861.0,6.0,164069.0,2361169.0,0
ecstacy (slowed),ecstacy (slowed),SUICIDAL-IDOL,2023-06-06,QZK6F2330686,949,49.3,242661037.0,43999.0,9893510.0,74.0,51722759.0,783780.0,499500.0,69556599.0,646143014.0,460974.0,5.0,5993.0,1.0,9696.0,2552266.0,1
Si Se Da,Si Se Da,Myke Towers,2019-02-26,QM4TX1920224,952,49.3,317223968.0,47247.0,7578697.0,54.0,1867482161.0,5147665.0,15153.0,1209967.0,14034398.0,133593097.0,21.0,5622.0,6.0,74161.0,1796737.0,1
Holy (feat. Chance The Rapper),Holy,Justin Bieber,2020-09-18,USUM72017013,950,49.3,787546548.0,110389.0,44478175.0,63.0,396861382.0,6241346.0,193594.0,69149295.0,561056269.0,1394478465.0,178.0,399515.0,51.0,257512.0,3589419.0,0
No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,USQX91402598,955,49.3,2235160830.0,403355.0,73668045.0,81.0,656310159.0,4852226.0,744556.0,138864977.0,885273359.0,184893947.0,115.0,11860.0,41.0,370317.0,5513979.0,1
Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit,2017-03-16,GBAHS1700199,954,49.3,1456894713.0,141677.0,49274720.0,71.0,1523128022.0,9966382.0,707674.0,33256295.0,386013926.0,1419194972.0,173.0,84752.0,82.0,706468.0,9434537.0,0
Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,2020-05-22,USUM72004304,951,49.3,1060378159.0,104647.0,55948663.0,68.0,514581598.0,6465409.0,442243.0,80912710.0,538854965.0,382160207.0,320.0,354978.0,143.0,2320730.0,3888061.0,0
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,2023-07-27,GBUM72306881,953,49.3,118804209.0,57036.0,35240391.0,71.0,16072797.0,207183.0,182364.5,27141268.0,265551910.0,125042.0,29.0,6016.0,14.0,2609137.0,908754.0,0
10:35,10:35,Tiësto,2022-11-03,CYA112001130,958,49.2,539802784.0,82093.0,99413749.0,74.0,94379586.0,652780.0,11473.0,5762615.0,119710596.0,487764676.0,187.0,60512.0,80.0,1747753.0,2064142.0,0
